userID;pseudonym;round;points;level;startTime;taskTimes;tries
fed15244;WindowsWalter;4;17;8;2021-12-20 15:24:48.579000+00:00;"[[""unit1Ident"",""2021-12-20T15:42:31.372Z"",""2021-12-20T15:43:51.350Z"",""2021-12-20T15:47:40.237Z""],[""unit2Ident"",""2021-12-20T16:00:09.786Z"",""2021-12-20T16:04:51.695Z"",""2021-12-20T16:18:18.281Z""],[""unit2Resp"",""2021-12-20T16:18:24.407Z"",""2021-12-20T16:23:16.118Z"",""2021-12-20T16:27:21.390Z"",""2021-12-20T16:28:45.923Z"",""2021-12-20T16:32:57.099Z""]]";[[3,3],[2,0],[3,3,3,3]]
fim37829;FortranFabi;4;14;8;2021-12-20 15:26:19.776000+00:00;"[[""unit1Ident"",""2021-12-20T15:39:01.879Z"",""2021-12-20T15:39:38.323Z"",""2021-12-20T15:40:49.356Z""],[""unit2Ident"",""2021-12-20T15:50:45.457Z"",""2021-12-20T15:57:00.319Z"",""2021-12-20T16:01:11.006Z""],[""unit2Resp"",""2021-12-20T16:01:21.516Z"",""2021-12-20T16:03:39.544Z"",""2021-12-20T16:08:52.391Z"",""2021-12-20T16:09:44.355Z"",""2021-12-20T16:24:09.774Z""]]";[[3,3],[2,1],[3,3,3,0]]
hum45707;PythonPaul;4;2;8;2021-12-20 15:22:33.758000+00:00;"[[""unit1Ident"",""2021-12-20T15:45:16.440Z"",""2021-12-20T15:46:15.594Z"",""2021-12-20T15:49:00.115Z""],[""unit2Ident"",""2021-12-20T16:00:39.234Z"",""2021-12-20T16:02:35.955Z"",""2021-12-20T16:04:12.359Z""],[""unit2Resp"",""2021-12-20T16:05:19.633Z"",""2021-12-20T16:20:11.959Z"",""2021-12-20T16:20:18.214Z"",""2021-12-20T16:20:23.584Z"",""2021-12-20T16:23:01.862Z""]]";[[3,2],[3,0],[0,0,0,0]]
kab34466;DockerDani;4;13;8;2021-12-20 15:22:51.506000+00:00;"[[""unit1Ident"",""2021-12-20T15:37:37.159Z"",""2021-12-20T15:40:49.266Z"",""2021-12-20T15:43:28.819Z""],[""unit2Ident"",""2021-12-20T15:52:50.382Z"",""2021-12-20T16:00:14.477Z"",""2021-12-20T16:02:09.427Z""],[""unit2Resp"",""2021-12-20T16:02:34.914Z"",""2021-12-20T16:08:32.648Z"",""2021-12-20T16:14:15.644Z"",""2021-12-20T16:16:47.647Z"",""2021-12-20T16:21:07.466Z""]]";[[3,3],[2,0],[3,0,3,3]]
lia53980;PerlPatricia;4;20;8;2021-12-20 15:25:42.695000+00:00;"[[""unit1Ident"",""2021-12-20T15:42:28.834Z"",""2021-12-20T15:43:49.994Z"",""2021-12-20T15:47:26.792Z""],[""2021-12-20T16:19:42.084Z""],[""unit2Resp"",""2021-12-20T16:19:47.726Z"",""2021-12-20T16:23:26.256Z"",""2021-12-20T16:27:28.877Z"",""2021-12-20T16:29:09.570Z"",""2021-12-20T16:32:47.258Z""]]";[[1],[3,3,3,3]]
mam54128;RouterRichard;4;6;8;2021-12-20 15:23:16.220000+00:00;"[[""unit1Ident"",""2021-12-20T15:41:00.786Z"",""2021-12-20T15:44:03.981Z"",""2021-12-20T15:45:00.232Z""],[""unit2Ident"",""2021-12-20T15:54:06.433Z"",""2021-12-20T15:57:15.717Z"",""2021-12-20T16:01:31.792Z""],[""unit2Resp"",""2021-12-20T16:01:41.973Z"",""2021-12-20T16:13:18.733Z"",""2021-12-20T16:26:15.331Z"",""2021-12-20T16:33:40.556Z"",""2021-12-20T16:36:20.084Z""]]";[[2,3],[2,0],[2,0,0,0]]
scn20701;HackerHenry;4;15;8;2021-12-20 15:20:57.602000+00:00;"[[""unit1Ident"",""2021-12-20T15:29:51.874Z"",""2021-12-20T15:32:33.982Z"",""2021-12-20T15:39:25.931Z""],[""unit2Ident"",""2021-12-20T15:45:00.606Z"",""2021-12-20T15:47:01.386Z"",""2021-12-20T15:50:46.064Z""],[""unit2Resp"",""2021-12-20T15:51:09.892Z"",""2021-12-20T15:55:09.777Z"",""2021-12-20T15:58:21.468Z"",""2021-12-20T15:59:31.177Z"",""2021-12-20T16:20:59.532Z""]]";[[1,0],[3,1],[3,3,3,3]]
zac56624;VirtualVeronica;4;14;8;2021-12-20 15:31:07.469000+00:00;"[[""unit1Ident"",""2021-12-20T15:44:28.843Z"",""2021-12-20T15:45:21.341Z"",""2021-12-20T15:59:58.447Z""],[""unit2Ident"",""2021-12-20T16:07:41.679Z"",""2021-12-20T16:09:45.362Z"",""2021-12-20T16:13:07.766Z""],[""2021-12-20T16:43:05.769Z""]]";[[3]]
