userID;pseudonym;round;points;level;startTime;taskTimes;tries
dyj15895;BotBecky;3;19;8;2021-12-20 11:24:25.267000+00:00;"[[""unit1Ident"",""2021-12-20T11:44:16.024Z"",""2021-12-20T11:48:40.875Z"",""2021-12-20T11:51:51.962Z""],[""unit2Ident"",""2021-12-20T12:08:14.745Z"",""2021-12-20T12:13:28.928Z"",""2021-12-20T12:23:05.689Z""],[""unit2Resp"",""2021-12-20T12:23:16.253Z"",""2021-12-20T12:31:15.598Z"",""2021-12-20T12:45:04.640Z"",""2021-12-20T12:47:04.227Z"",""2021-12-20T12:49:47.908Z""]]";[[3,3],[3,0],[3,3,3,3]]
enn23213;MalwareMary;3;8;8;2021-12-20 11:21:22.630000+00:00;"[[""unit1Ident"",""2021-12-20T11:35:10.251Z"",""2021-12-20T11:38:09.762Z"",""2021-12-20T11:39:05.588Z""],[""unit2Ident"",""2021-12-20T11:50:14.970Z"",""2021-12-20T11:57:27.317Z"",""2021-12-20T12:02:09.167Z""],[""unit2Resp"",""2021-12-20T12:08:10.425Z"",""2021-12-20T12:13:47.068Z"",""2021-12-20T12:25:39.508Z"",""2021-12-20T12:26:46.221Z"",""2021-12-20T12:32:50.275Z""]]";[[2,3],[3,0],[1,1,3,0]]
gem42788;JavaJoseph;3;23;8;2021-12-20 11:23:55.762000+00:00;"[[""unit1Ident"",""2021-12-20T11:39:19.730Z"",""2021-12-20T11:45:41.114Z"",""2021-12-20T11:47:08.725Z""],[""unit2Ident"",""2021-12-20T11:58:20.331Z"",""2021-12-20T12:12:13.971Z"",""2021-12-20T12:12:35.984Z""],[""unit2Resp"",""2021-12-20T12:12:38.979Z"",""2021-12-20T12:15:14.320Z"",""2021-12-20T12:16:43.889Z"",""2021-12-20T12:17:35.810Z"",""2021-12-20T12:21:37.101Z""]]";[[3,3],[2,3],[3,3,3,3]]
kag32683;SensorSandra;3;22;8;2021-12-20 11:20:41.750000+00:00;"[[""unit1Ident"",""2021-12-20T11:34:19.335Z"",""2021-12-20T11:34:28.039Z"",""2021-12-20T11:35:21.555Z""],[""unit2Ident"",""2021-12-20T11:46:03.935Z"",""2021-12-20T11:46:13.460Z"",""2021-12-20T11:50:15.658Z""],[""unit2Resp"",""2021-12-20T11:50:26.628Z"",""2021-12-20T11:52:28.177Z"",""2021-12-20T11:56:16.650Z"",""2021-12-20T11:57:02.344Z"",""2021-12-20T12:08:48.651Z""]]";[[3,3],[3,3],[3,3,3,2]]
lor64393;BackupBalthasar;3;18;8;2021-12-20 11:23:16.106000+00:00;"[[""unit1Ident"",""2021-12-20T11:36:22.132Z"",""2021-12-20T11:40:07.827Z"",""2021-12-20T11:43:13.229Z""],[""unit2Ident"",""2021-12-20T11:58:09.195Z"",""2021-12-20T12:00:29.165Z"",""2021-12-20T12:04:45.237Z""],[""unit2Resp"",""2021-12-20T12:06:28.004Z"",""2021-12-20T12:16:08.087Z"",""2021-12-20T12:22:58.212Z"",""2021-12-20T12:24:24.766Z"",""2021-12-20T12:29:19.239Z""]]";[[3,2],[3,0],[3,3,3,2]]
maa36827;JailbreakJesus;3;21;8;2021-12-20 11:21:07.271000+00:00;"[[""unit1Ident"",""2021-12-20T11:33:19.739Z"",""2021-12-20T11:34:31.959Z"",""2021-12-20T11:42:53.498Z""],[""unit2Ident"",""2021-12-20T11:50:58.186Z"",""2021-12-20T11:53:55.638Z"",""2021-12-20T12:04:54.477Z""],[""unit2Resp"",""2021-12-20T12:05:20.740Z"",""2021-12-20T12:08:38.434Z"",""2021-12-20T12:15:29.582Z"",""2021-12-20T12:16:22.339Z"",""2021-12-20T12:23:20.854Z""]]";[[3,2],[3,1],[3,3,3,3]]
scm33023;CloudClara;3;20;8;2021-12-20 11:21:09.486000+00:00;"[[""unit1Ident"",""2021-12-20T11:33:20.107Z"",""2021-12-20T11:34:32.020Z"",""2021-12-20T11:43:07.868Z""],[""unit2Ident"",""2021-12-20T11:51:44.323Z"",""2021-12-20T11:54:00.106Z"",""2021-12-20T12:04:47.675Z""],[""unit2Resp"",""2021-12-20T12:05:29.731Z"",""2021-12-20T12:08:29.429Z"",""2021-12-20T12:15:26.717Z"",""2021-12-20T12:17:23.178Z"",""2021-12-20T12:23:42.016Z""]]";[[3,0],[3,2],[3,3,3,3]]
sir24622;VirusVicky;3;17;8;2021-12-20 11:20:32.424000+00:00;"[[""unit1Ident"",""2021-12-20T11:35:07.696Z"",""2021-12-20T11:39:19.582Z"",""2021-12-20T11:42:36.131Z""],[""unit2Ident"",""2021-12-20T11:53:32.420Z"",""2021-12-20T11:56:00.603Z"",""2021-12-20T11:59:20.056Z""],[""unit2Resp"",""2021-12-20T11:59:22.092Z"",""2021-12-20T12:11:15.943Z"",""2021-12-20T12:18:34.925Z"",""2021-12-20T12:19:46.867Z"",""2021-12-20T12:22:11.207Z""]]";[[3,3],[2,1],[2,3,3,3]]
